분류,기능명,기능 설명,Created by,Status,Priority,Related files,Created
홈화면,홈화면 접속,"번호 순대로 UI가 수직 정렬로 구성
- 1. hero section: 가장 상단에는 공지사항 및 광고에 해당하는 carousel
- 2. Guide page button section: 가이드 페이지로 이동하는 버튼
- 3. Login/Status section: 가이드 페이지 버튼 아래에는 로그인 유도(비로그인의 경우) 또는 자신의 상태/마이페이지 버튼(로그인의 경우) 구역이 존재
- 4. Route card button group: 다른 페이지로 이동하는 4가지 card button, 어울리는 아이콘/일러스트 + 텍스트 형태
  - 4-1. 그루맵 트래킹: 생태관광 코스 목록 조회
  - 4-2. 그루의 발자국: 미션 수행
  - 4-3. 그루미터: 탄소배출량 계산
  - 4-4. 챌린지 포레스트: 다른 유저 미션 결과 리스트 조회",Hyemin,New,High,,2025년 6월 14일 오전 9:56
미션수행,미션 수행,"탄소배출 절감 미션을 수행한다. 아래와 같은 플로우로 funnel 구조로 페이지 구성
- 1-1. 탄소배출 절감 미션 리스트 (ex. 다회용기 사용, 자전거 이용, 텀블러이용 등)
  - 미션 리스트는 card UI(관련 이미지+텍스트+인증하기 CTA button)
- 1-2. GPS 인증
  - 카카오 map API 사용
- 1-3. 챌린지명과 지역 이름을 확인할 수 있는 UI
- 1-4. 각 미션에 맞는 콘텐츠(사진+텍스트 형태의 내용)를 업로드/입력
  - 사진은 3장까지, 내용은 500자까지 입력 가능
- 1-5. 인증 완료
  - 특정 조건이 발동한 경우 뱃지 획득(ex. 텀블러 사용 10회 뱃지 획득)
  - 뱃지 획득시 그에 맞는 아기자기한 일러스트 등장
  - 인증 완료 하단에 [나의 미션 수행 결과 리스트 조회]로 이동할 수 있는 button",Hyemin,New,High,,2025년 6월 16일 오후 12:55
미션수행,나의 미션 수행 결과 리스트 조회,"탄소배출 절감 미션 수행했던 결과 리스트를 조회한다.

각 항목은 card button이며 3개의 column으로 구성 및 아래 데이터를 포함
- 인증 사진*
- 미션 분류*
- 미션 수행 위치*
- 획득 뱃지(선택)
- 좋아요 수*
- 수행일*

filter 및 sort 가능한 field
- 미션 분류 및 기간일 필터
- 그 외 커뮤니티 형태의 UX에 맞는 field가 추가되어도 무방",Hyemin,New,High,,2025년 6월 16일 오후 1:07
미션수행,미션 수행 결과 상세 조회,"탄소배출 절감 미션 수행했던 결과의 상세 내역을 조회한다.
- 인증 사진*
- 미션 분류*
- 작성자 이름과 프로필 이미지(레벨/대표 뱃지)*
- 획득 뱃지(선택)
- 수행 위치*
- 수행 내용*: 텍스트, 사진 등
- 수행일*
상세 내역 하단에는 card button형태의 목록 2개의 section, section은 하나의 row씩 구성
- 같은 분류 챌린지 조회: 동일한 미션을 수행한 다른 사람들의 인증글 목록
- 인근 위치 챌린지: 동일한 위치에서 수행한 다른 사람들의 인증글 목록",Hyemin,New,Medium,,2025년 6월 16일 오후 1:09
미션수행,다른 유저 미션 결과 리스트 조회,"다른 유저들이 진행한 미션 결과 리스트를 조회한다.
[나의 미션 수행 결과 리스트 조회]와 동일한 UI
- 인증 사진*
- 미션 분류*
- 미션 수행 위치*
- 획득 뱃지(선택)
- 좋아요 수*
- 수행일*
- 작성자 프로필 사진*

+ 분류 및 기간일 필터",Hyemin,New,Low,,2025년 6월 16일 오후 1:10
온보딩,소셜 로그인,"외부 소셜계정을 통해 로그인 수행
- 소셜 플랫폼 사용자 식별자*(clientID)
- 소셜 토큰*(Accesstoken)
- 최근 사용한 소셜로그인 수단*
- 이메일 주소*
- 사용자 생년월일
- 사용자 성별

로그인 화면 구성
- 상단에는 서비스소개를 위한 이미지와 텍스트 표시
- 하단에는 소셜로그인 연동을 위한 3개의 버튼 
  1. 구글 로그인: 구글 로고와 파란 배경의 로그인 버튼
  2. 애플 로그인: 애플 로고와 검은 배경의 로그인 버튼
  3. 카카오 로그인: 카카오 로고와 노란 배경의 로그인버튼 ",종진,New,High,,2025년 6월 16일 오후 10:37
온보딩,약관 동의,"회원 가입 시 필수/선택 약관에 대한 동의 여부 수집
- 필수 약관 동의 여부*
- 선택 약관 동의 여부*

회원가입 약관 동의 페이지 구성
- 상단에는 '서비스 이용약관' 문구가 텍스트 블록안에 배치
- 그 아래에는 모두동의 옵션이 라디오 버튼 형태로 배치 및 구분선
- 구분선 아래에 개별항목 동의 체크박스 리스트가 있음
  - 모두 동의 옵션 체크시 개별항목 체크박스 전체에 체크가 되어야 함
- 화면 하단에는 '회원가입' 텍스트 버튼 배치",종진,New,Medium,,2025년 6월 16일 오후 10:39
온보딩,추가정보 수집,"소셜 로그인 이후 생성된 계정에 추가 정보를 입력받아 저장
- 이메일* (소셜연동)
- 닉네임*
- 생년월일
- 성별
- 지역

사용자 추가정보 페이지 구성
- 상단에는 '사용자 추가 정보 입력' 이라는 텍스트 블록 배치
- 그 아래에는 수직정렬된 입력 폼 생성
1. 닉네임을 위한 텍스트입력 필드 와 그 우측에 중복 확인 버튼
2. 생년월일을 위한  숫자입력 필드
3. 성별을 위한 남성, 여성 체크 박스
4. 지역 입력을 위한 텍스트 입력 필드

입력폼 아래에 확인 버튼을 중앙 배치",종진,New,Low,,2025년 7월 2일 오전 12:27
온보딩,온보딩화면,"서비스 기본 사용법 조회 여부 확인
- 온보딩 수행 이력*

온보딩 가이드 화면 구성

- 상단에는 '그루트 이용방법' 텍스트 박스 배치
- 그 아래에 수직 타임라인 형식으로 온보딩 단계를 순서대로 표시

- 타임라인 구성:
  - Step 1: 왼쪽에 ""Step 1"" 텍스트, 오른쪽에는 큰 타이틀 텍스트 박스와 여러 줄의 설명 텍스트 박스
  - Step 2: 동일 구성
  - Step N: 동일 구성 (최종 단계)

- 위 단계를 [미션 수행] 페이지의 플로우에 따른 데이터로 구성
- 각 단계는 동그란 점으로 연결된 세로 라인을 따라 이어지며, 가장 아래에는 방향을 표시하는 아래쪽 화살표가 위치함.
- 하단에는 확인 버튼을 중앙 정렬로 배치",종진,New,Low,,2025년 6월 16일 오후 10:46
"대시보드, 마이페이지",탄소절감 확인(마이페이지),"사용자 본인의 누적 탄소 절감량, 
주간/월간 통계, 
활동별 주요 절감 내역을 확인
- 총 감축량(kgCO₂)
“나의 여행 중 총 탄소배출 절감량은 337.9 \n 이는 약 3그루의 나무가 1년동안 흡수하는 양과 같아요🌳\n여행 중 대중교통을 이용한 영향이 컸어요”와 같은 텍스트로 표현

- 활동별 그래프(트래킹, 대중교통 등) → 주요 절감 유형 (텍스트)
- 기간별 절감 변화(라인차트/막대그래프 등)
- 그래프 Label 텍스트는 둘 중 하나가 랜덤으로 등장(A/B 테스트 용도)
  - “달마다 심은 초록의 흔적”
  - “이번 달 나는 몇 그루의 나무를 심었을까?”

- 탄소 절감량을 확인할 수 있는 section 위, 즉 페이지 가장 상단에는 마이페이지에 대한 정보 section, 다음과 같은 데이터 및 액션 button으로 구성
  - 프로필 사진(레벨/대표 뱃지 이미지)
  - 사용자 닉네임
  - 레벨
  - 정보 수정 button
  - 로그아웃 button",김수연,New,High,,2025년 6월 17일 오후 1:56
